age,balance,income,campaign,previous,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,loan_no,loan_yes,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,TookProduct
40,1729,19767,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
35,280,35227,50,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
49,371,17288,44,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
42,1932,20159,32,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
38,0,29312,32,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
25,157,16427,31,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
53,2627,16689,30,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
36,-381,24516,29,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
33,385,17548,28,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
36,-11,23875,28,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,340,28978,28,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
36,5195,2868,25,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
58,0,19202,25,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
33,13494,25013,25,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
29,0,28028,25,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
38,593,18897,24,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
44,795,32724,24,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
42,214,22144,24,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
56,-1,7202,23,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
26,0,6555,23,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
40,109,18264,22,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
35,714,19623,22,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
34,5060,37262,21,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
41,437,24684,21,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
52,118,9519,20,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
28,1199,24431,20,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
38,14058,22334,20,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
47,94,30065,19,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
45,137,23532,19,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
29,584,28354,19,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
26,454,13708,18,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
53,65,20041,18,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
38,1679,25337,18,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
31,500,16427,18,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
23,363,18030,18,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
30,799,17530,18,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
19,1169,25222,18,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
45,1291,31742,17,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
52,431,38457,17,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50,2284,44842,17,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
27,113,18329,17,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
52,1623,41715,17,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
43,30,15578,17,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
30,47,25538,17,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
34,0,28759,16,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
37,4153,23633,16,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
44,8262,17427,16,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
48,0,30236,16,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
42,3620,26722,16,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
31,430,20324,16,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
30,329,24588,16,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
31,0,28873,16,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
48,0,18388,15,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
45,1929,11815,15,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
47,2,23705,15,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
36,860,31158,15,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,3601,29507,15,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
37,487,20639,15,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
38,213,32394,15,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
30,-218,9658,15,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
39,-41,22935,15,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
56,1333,13130,14,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
47,751,33188,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
43,17555,3846,14,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50,810,23987,14,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46,2262,50571,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
35,819,31082,14,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
31,459,32196,14,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,485,27666,14,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50,3337,17812,14,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
45,2087,22989,14,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
47,2914,9088,13,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
27,0,34596,13,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
52,289,19526,13,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
39,1045,35396,13,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
31,8312,19954,13,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
43,520,31864,13,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46,1008,27651,13,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
55,204,24078,13,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37,0,12132,13,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
27,0,38424,13,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
58,-27,37305,13,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
38,902,10751,13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
28,459,24826,13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
35,470,35854,13,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
36,760,28280,13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,0,24689,13,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
35,56,29452,12,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
33,215,24955,12,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
44,3762,31615,12,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
41,2993,1351,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
52,108,30160,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
57,282,31357,12,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
38,-469,26928,12,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
52,381,20408,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
51,3726,45814,12,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
33,0,15981,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
25,242,20127,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
