Age,Income,Family,CCAvg,Mortgage,Online,edu_graduate,edu_undergrad,LoanTaken
25,49,4,1,0,0,0,1,0
45,34,3,1,0,0,0,1,0
39,11,1,1,0,0,0,1,0
35,100,1,2,0,0,1,0,0
35,45,4,1,0,0,1,0,0
37,29,4,0,155,1,1,0,0
53,72,2,1,0,1,1,0,0
50,22,1,0,0,0,0,0,0
35,81,3,0,104,1,1,0,0
34,180,1,8,0,0,0,0,1
65,105,4,2,0,0,0,0,0
29,45,3,0,0,1,1,0,0
48,114,2,3,0,0,0,0,0
59,40,4,2,0,1,1,0,0
67,112,1,2,0,0,0,1,0
60,22,1,1,0,1,0,0,0
38,130,4,4,134,0,0,0,1
42,81,4,2,0,0,0,1,0
46,193,2,8,0,0,0,0,1
55,21,1,0,0,0,1,0,0
56,25,4,0,111,1,1,0,0
57,63,3,2,0,1,0,0,0
29,62,1,1,260,1,0,1,0
44,43,2,0,163,0,0,1,0
36,152,2,3,159,0,0,1,0
43,29,3,0,97,1,0,1,0
40,83,4,0,0,0,0,0,0
46,158,1,2,0,1,0,1,0
56,48,1,2,0,1,0,0,0
38,119,1,3,0,1,1,0,1
59,35,1,1,122,1,0,0,0
40,29,1,2,0,1,1,0,0
53,41,2,0,193,0,0,0,0
30,18,3,0,0,0,0,0,0
31,50,4,1,0,1,0,0,0
48,81,3,0,0,0,0,1,0
59,121,1,2,0,0,0,1,0
51,71,1,1,198,0,0,0,0
42,141,3,5,0,1,0,0,1
38,80,4,0,285,1,0,0,0
57,84,3,1,0,0,0,0,0
34,60,3,2,0,0,0,1,0
32,132,4,1,412,1,1,0,1
39,45,1,0,0,1,0,1,0
46,104,1,5,0,1,0,1,0
57,52,4,2,0,0,0,1,0
39,43,3,0,153,1,1,0,0
37,194,4,0,211,1,0,0,1
56,81,2,4,0,0,0,0,0
40,49,1,1,0,0,0,1,0
32,8,4,0,0,1,1,0,0
61,131,1,2,0,1,0,1,0
50,190,3,2,240,1,0,0,1
29,44,1,0,0,1,0,0,0
41,139,2,8,0,1,0,1,0
55,29,3,0,0,1,1,0,0
56,131,2,1,0,0,0,0,1
28,93,2,0,0,0,0,1,0
31,188,2,4,455,0,0,1,0
49,39,3,1,0,1,1,0,0
47,125,1,5,112,0,0,1,0
42,22,1,1,0,0,0,1,0
42,32,4,0,0,1,1,0,0
47,105,2,3,0,0,0,1,0
59,131,1,3,0,1,0,1,0
62,105,2,2,336,0,0,1,0
53,45,4,2,132,0,0,0,0
